matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
2000,64,491,262,646,321,769,490
4000,64,749,377,1527,683,1983,949
6000,64,842,432,2184,683,2682,977
8000,64,1022,519,2207,588,2757,750
10000,64,1196,589,1533,569,1775,791
12000,64,1400,734,1261,598,1548,851
14000,64,1496,703,1249,594,1593,875
16000,64,1586,985,1277,767,1631,1104
18000,64,1951,1009,1621,965,1870,1157
20000,64,2102,794,1896,593,1916,913
