size, procs, ordered_mean, static_mean
10000,1,0.423872,0.067542
14142,2,0.649880,0.082655
17320,3,0.948291,0.075658
20000,4,1.141938,0.085753
10000,1,0.386362,0.052652
14142,2,0.615600,0.065591
17320,3,0.914612,0.056559
20000,4,1.106095,0.066834
10000,1,0.366466,0.044110
14142,2,0.588600,0.056934
17320,3,0.892706,0.046861
20000,4,1.074184,0.057343
