matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
2000,64,801,470,846,461,1018,639
4000,64,1659,737,2147,648,2364,973
6000,64,1780,675,1946,565,2199,719
8000,64,1598,761,1280,568,1436,784
10000,64,1813,812,1283,575,1498,826
12000,64,1846,875,1329,627,1645,870
14000,64,1987,853,1339,597,1667,900
16000,64,2023,1034,1359,781,1622,1097
18000,64,2239,910,1655,702,1880,1053
20000,64,2364,913,1438,656,2067,944
