size, procs, ordered_mean, static_mean
10000,1,0.398530,0.069567
10000,2,0.378904,0.054701
10000,3,0.374203,0.042560
10000,4,0.372741,0.041316
15000,1,0.679124,0.128072
15000,2,0.633483,0.095084
15000,3,0.628129,0.066120
15000,4,0.615450,0.059884
20000,1,1.164763,0.216170
20000,2,1.098811,0.150101
20000,3,1.064929,0.098684
20000,4,1.064079,0.089212
