matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
2000,12,1085,639,812,569,956,517
4000,12,1495,753,1414,755,1156,638
6000,12,1515,765,1492,790,1214,663
8000,12,1578,761,1541,794,1235,668
10000,12,1521,726,1519,774,1227,661
12000,12,1525,754,1515,791,1215,669
14000,12,1565,743,1547,791,1212,675
16000,12,1560,757,1535,792,1214,650
18000,12,1555,744,1545,790,1222,667
20000,12,1536,741,1513,787,1217,663
