matrix_size,num_threads,openblas_float,openblas_double,mkl_float,mkl_double,blis_float,blis_double
2000,12,1016,597,730,453,1014,588
4000,12,1444,756,1430,767,1235,660
6000,12,1503,778,1514,802,1303,700
8000,12,1578,747,1583,799,1318,697
10000,12,1503,757,1546,788,1294,693
12000,12,1505,749,1524,786,1281,635
14000,12,1497,739,1551,798,1290,710
16000,12,1507,729,1553,777,1241,650
18000,12,1541,742,1535,790,1227,677
20000,12,1544,723,1509,770,1223,687
