threads_per_socket, ordered_mean, static_mean
1,3.551225,2.348059
4,1.031754,0.608902
8,0.746969,0.323646
12,0.593716,0.224927
16,0.480810,0.174682
20,0.406972,0.146201
24,0.412216,0.126339
28,0.366415,0.112981
32,0.367314,0.101252
36,0.406336,0.093867
40,0.345464,0.087891
44,0.351073,0.082606
48,0.359154,0.078496
52,0.373981,0.076170
56,0.382009,0.073982
60,0.398312,0.070791
64,0.407307,0.070206
