threads_per_socket, ordered_mean, static_mean
1,14.158317,9.396850
4,3.881438,2.388464
8,2.319432,1.235360
12,1.810114,0.833448
16,1.335980,0.634011
20,1.347553,0.523541
24,1.358949,0.442228
28,1.365225,0.391493
32,0.942160,0.346920
36,0.963337,0.318368
40,0.979849,0.289642
44,0.995742,0.273414
48,1.019123,0.263499
52,1.051488,0.244812
56,1.064279,0.241322
60,1.100517,0.226214
64,1.112687,0.218545
